Date,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Species ,Age_clean
2014-08-08,2014.0,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,Minor lacerations to left heel and big toe,N,"BULL SHARK, 5'",7.0
2014-07-05,2014.0,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,"No injury, surboard bitten",N,UNKNOW,28.0
2014-06-08,2014.0,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,Left arm bitten,N,UNKNOW,43.0
2013-08-31,2013.0,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,Foot bitten,N,SALMON SHARK,28.0
2013-07-11,2013.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,Right foot bitten,N,UNKNOW,63.0
2013-03-29,2013.0,Unprovoked,SEYCHELLES,Unknow,Ile Platte,Free diving,M,Lacerations to left foot,N,UNKNOW,34.0
2012-09-25,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Lacerations to left forearm,N,5' SHARK,21.0
2012-08-15,2012.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,Lacerations to leg,N,UNKNOW,31.0
2012-06-22,2012.0,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,Surfing,M,"Knocked off board, shark bit nose off surfboard",N,UNKNOW,28.0
2012-05-23,2012.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,Lacerations to foot,N,4' TO 5' SHARK,22.0
2011-09-19,2011.0,Unprovoked,REUNION,Saint-Gilles,Boucan-Canot,Body boarding,M,FATAL,Y,UNKNOW,38.0
2011-08-16,2011.0,Unprovoked,SEYCHELLES,Praslin,Anse Lazio,Swimming or Snorkeling,M,FATAL,Y,"BULL SHARK, 6'",30.0
2011-06-24,2011.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,Shark leapt onto surfboard; surfer uninjured,N,"WHITE SHARK, 5' K",28.0
2010-11-12,2010.0,Watercraft,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,No injury to occupant. Shark rammed bottom of the boat,N,WHITE SHARK,28.0
2010-10-30,2010.0,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,Torso and left buttock bitten,N,WHITE SHARK,20.0
2010-07-02,2010.0,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,Laceration to left foot,N,4' SHARK,19.0
2010-04-19,2010.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,"No injury, surfboard bitten",N,14' SHARK,68.0
2010-04-04,2010.0,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh,Swimming / treading water,M,Lacerations to left ankle and foot,N,"OCEANIC WHITETIP SHARK, 6'",24.0
2009-07-30,2009.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,M,Left forearm grazed & puncture marks in wetsuit,N,UNKNOW,14.0
2009-05-17,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to left leg & foot,N,BLACKTIP OR SPINNER SHARK,31.0
2008-12-27,2008.0,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,M,"No injury, shark tore his swim fin",N,UNKNOW,10.0
2008-08-20,2008.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,3 lacerations to forearm,N,UNKNOW,47.0
2008-07-05,2008.0,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",Surfing,F,Lacerations to right foot,N,UNKNOW,17.0
2008-01-19,2008.0,Invalid,NEW ZEALAND,South Island,Marfells Beach,Wading,M,"Stingray envenomation, not a shark",UNKNOWN,NO SHARK INVOLVEMENT,28.0
2007-12-15,2007.0,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,Lacerations to hand,N,A SMALL SHARK,28.0
2007-09-27,2007.0,Unprovoked,EGYPT,Red Sea,Daedalus Reef,Swimming,F,"Severe lacerations to lower left leg, ankle and foot",N,OCEANIC WHITETIP SHARKS WERE IN THE VICINITY,18.0
2007-06-30,2007.0,Unprovoked,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,Hand bitten,N,UNKNOW,28.0
2007-06-05,2007.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,Lacerations to leg & ankle,N,UNKNOW,28.0
2007-01-09,2007.0,Unprovoked,AUSTRALIA,New South Wales,Sandbar Beach,Surfing,M,"No injury, shark damaged surfboard",N,2.4 M SHARK,28.0
2006-09-02,2006.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,"No injury, shark rammed surfboard",N,"WHITE SHARK, 3.5M",37.0
2006-07-29,2006.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Foot bitten,N,UNKNOW,15.0
2006-07-17,2006.0,Unprovoked,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,Left ankle & foot bitten,N,"ANGEL SHARK, 1.2M",49.0
2006-04-19,2006.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,F,3 tiny punctures & small lacerations on right ankle,N,UNKNOW,13.0
2005-11-21,2005.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Surfing,M,Left foot bitten,N,4' SHARK,30.0
2005-10-11,2005.0,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Scuba diving,F,No injury,N,CARIBBEAN REEF SHARKS,57.0
2005-09-20,2005.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,"Injuries to fingers, calf  & heel",N,3' TO 4' SHARK,68.0
2004-08-15,2004.0,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,FATAL,Y,4.9 M TO 5.5 M [16' TO 18'] WHITE SHARK,50.0
2004-06-02,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,"FATAL, leg severed",Y,WHITE SHARK,21.0
2004-05-22,2004.0,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,Single puncture wound on the foot,UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,9.0
2003-11-27,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,"Presumed FATAL, severed hand recovered",Y,"TIGER SHARK, 4 M [13']  ?",21.0
2003-07-05,2003.0,Unprovoked,USA,Florida,"Canova Beach, Brevard County",Surfing,M,Left foot bitten,N,1.5 M TO 1.8 M [5' TO 6'] SHARK,21.0
2003-05-14,2003.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Wading,M,Left foot bitten,N,3' TO 5' SHARK,22.0
2002-12-24,2002.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,Forearms lacerated,N,"WHITE SHARK, 4 M WHITE SHARK",25.0
2002-10-05,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Abrasions on right hand & deep laceration on middle finger,N,BLACKTIP OR SPINNER SHARK,14.0
2002-10-05,2002.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Heel & back of right knee lacerated,N,3.5' TO 4.5' SHARK,35.0
2002-09-21,2002.0,Unprovoked,USA,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,Ankle lacerated,N,2.4 M [8'] SHARK,24.0
2002-09-16,2002.0,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,M,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,UNKNOW,28.0
2001-05-11,2001.0,Invalid,MADAGASCAR,Unknow,Shipwrecked Ferry M/V Samsonnette,Surfing,M,Fatal or drowned & remains scavenged by shark,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
2001-03-03,2001.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,FATAL,Y,UNKNOW,20.0
2000-09-29,2000.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Sitting on surfboard,M,No injury,N,"WHITE SHARK, 4.3 M [14']",28.0
2000-08-21,2000.0,Unprovoked,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises,M,"Severe gash to left hand above wrist, almost severing hand",N,UNKNOW,28.0
2000-07-06,2000.0,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,Calf lacerated,N,"TIGER SHARK, 0.9 M TO 1.5 M [3' TO 5'] ?",12.0
2000-07-02,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,Left calf & hand lacerated,N,0.9 M [3'] SHARK,13.0
2000-07-01,2000.0,Unprovoked,TANZANIA,Unknow,"Coco Beach, Dar-es-Salaam",Swimming,M,FATAL,Y,THOUGHT TO INVOLVE A ZAMBESI SHARK,28.0
2000-02-21,2000.0,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,M,Right calf bitten,N,UNKNOW,27.0
1999-03-18,1999.0,Unprovoked,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,Spearfishing & diving for paua,M,No injury,N,"SEVENGILL SHARK, 2.4 M [8']",28.0
1999-01-01,1999.0,Invalid,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,M,Abrasions,UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,28.0
1998-09-01,1998.0,Provoked,SENEGAL,Cap Vert Peninsula,Yoff Island,Spearfishing,M,Bitten by harpooned shark PROVOKED INCIDENT,N,1.5 M SHARK,25.0
1998-07-06,1998.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Surfing,M,Right leg bitten,N,"RAGGEDTOOTH SHARK, 1.2 M [4']",10.0
1997-06-02,1997.0,Unprovoked,USA,Florida,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",M,4 lacerations above left ankle,N,1.2 M [4'] SHARK (SPINNER SHARK?),33.0
1996-06-25,1996.0,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Body surfing,F,"Lacerations to left shin, heel & foot",N,UNKNOW,24.0
1995-08-31,1995.0,Unprovoked,USA,Florida,"North Beach Inlet, St. Lucie County",Surfing,M,Left hand & forearm bitten,N,1.2 M TO 1.5 M [4' TO 5'] SHARK,19.0
1995-08-22,1995.0,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,M,Bottom of left foot gashed,N,SMALL SHARK,19.0
1995-07-07,1995.0,Unprovoked,BRAZIL,Pernambuco,Candeias,Surfing,M,"Arm bitten, FATAL",Y,UNKNOW,18.0
1994-12-09,1994.0,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),M,"FATAL, right leg nearly severed, puncture wounds to left leg",Y,5 M TO 5.5 M [16.5' TO 18'] WHITE SHARK,42.0
1993-09-30,1993.0,Unprovoked,SOMALIA,Banaadir Region,Mogadishu,Swimming,M,FATAL,Y,UNKNOW,21.0
1993-09-26,1993.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Danger Point,Spearfishing,M,Calf lacerated,N,3 M [10'] WHITE SHARK,36.0
1993-09-14,1993.0,Unprovoked,USA,Florida,"Huguenot Memorial Park, Duval County",Wading,M,Left foot bitten,N,3' SHARK,19.0
1993-09-09,1993.0,Unprovoked,USA,Florida,"Little Talbot Island, Jacksonville, Duval County",Surfing,M,Left foot bitten,N,UNKNOW,16.0
1993-01-04,1993.0,Watercraft,CARIBBEAN SEA,Unknow,Off Dominican Republic,Surfing,M,"No injury to occupants. Sharks, attracted to offal from slaughtered dolphin, attacked & damaged their canoe",N,TWO 3 M [10'] OCEANIC WHITETIP SHARKS,32.0
1992-11-25,1992.0,Unprovoked,USA,Florida,"Brevard County, a mile north of Sebastian Inlet",Surfing,M,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,N,6' TO 7' BLACKTIP SHARK,19.0
1992-01-01,1992.0,Invalid,JAPAN,Sea of Japan,Kanazawa?,Surfing,M,Survived. questionable incident,UNKNOWN,QUESTIONABLE INCIDENT,28.0
1991-09-19,1991.0,Invalid,BAHAMAS,Unknow,Bimini,Spearfishing,M,"Initally reported as a shark attack, forensic examination concluded cause of death was drowning",UNKNOWN,INVALID,32.0
1989-10-08,1989.0,Invalid,USA,North Carolina,"Between Wrightsville Beach & Carolina Beach, New Hanover County",Diving,M,FATAL,UNKNOWN,SHARK INVOLVEMENT SUSPECTED BUT NOT CONFIRMED,49.0
1989-02-02,1989.0,Unprovoked,ITALY,Tyrrhenian Sea,"Golfo di Baratti, near Piombino (Tuscany)","Scuba diving, but swimming on surface",M,FATAL. His body not recovered,Y,6 M [20'] WHITE SHARK,47.0
1989-01-01,1989.0,Unprovoked,USA,Virginia,"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",Spearfishing using scuba & trailing a string of bleeding fish,M,"No injury, shark grabbed his fish and chased him to the boat",N,UNKNOW,28.0
1988-07-01,1988.0,Unprovoked,BAHAMAS,Unknow,Unknow,Spearfishing,M,Lacerations to arm,N,UNKNOW,28.0
1987-07-01,1987.0,Unprovoked,BAHAMAS,Unknow,Unknow,Spearfishing,M,Puncture marks to torso,N,2.5 TO 3 M SHARK,28.0
1986-01-12,1986.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,Puncture wounds to both feet,N,BLACKTIP SHARK,22.0
1985-10-12,1985.0,Unprovoked,USA,Hawaii,"Barbers Point, O'ahu",Floating on inner tube after diving for lobster,M,Left arm lacerated,N,1.8 M TO 2.4 M [6' TO 8'] SHARK,24.0
1984-02-17,1984.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,M,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,1.5 M [5'] DUSKY SHARK,33.0
1983-07-12,1983.0,Unprovoked,USA,Florida,"Caloosahatchee River, Lee County",Windsurfing,F,Left ankle nipped (3 punctures wounds),N,3.5' HAMMERHEAD SHARK,39.0
1983-04-02,1983.0,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,M,Left foot bitten,N,UNKNOW,16.0
1982-03-10,1982.0,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,Elbow bitten,N,UNKNOW,16.0
1982-02-07,1982.0,Unprovoked,USA,Florida,Elliot Key,Diving,M,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,UNKNOW,29.0
1982-01-01,1982.0,Watercraft,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",Boat,M,No details,UNKNOWN,6 M [20'] WHITE SHARK,28.0
1981-09-15,1981.0,Unprovoked,USA,Florida,"Tampa Bay, Manatee County",Swimming,M,"FATAL, right calf bitten",Y,SAID TO INVOLVE A TIGER SHARK OR A HAMMERHEAD SHARK,26.0
1981-08-10,1981.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Diving,M,Bite to face,N,SMALL NURSE SHARK,28.0
1981-07-18,1981.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,7 lacerations to right foot,N,POSSIBLY A  1.8 M [6'] ZAMBEZI SHARK,32.0
1980-01-10,1980.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,King’s Beach,Swimming,M,3 small punctures on arm,N,"RAGGEDTOOTH SHARK, 2 M [6'9]",25.0
1977-03-13,1977.0,Sea Disaster,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,FATAL,Y,UNKNOW,74.0
1976-07-12,1976.0,Unprovoked,USA,Florida,St. Lucie County,Spearfishing,M,lost part of a finger,N,6' TO 8' SHARK,23.0
1976-02-03,1976.0,Watercraft,SOUTH AFRICA,Western Cape Province,False Bay,Shark watching,M,"No injury to occupants, shark rammed bow, driving its head into the hull",N,2.5 M [8.25'] WHITE SHARK,28.0
1976-01-11,1976.0,Provoked,SOUTH AFRICA,Western Cape Province,Kalk Bay,Fishing for snoek & yellowtail,M,"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT",N,"WHITE SHARK, 3 M [10']",28.0
1975-06-15,1975.0,Unprovoked,USA,Alabama,5 miles off the coast,Swimming near his boat,M,Left leg bitten,N,UNKNOW,27.0
1974-06-20,1974.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,Lacerations to hip and leg,N,UNKNOW,61.0
1973-12-18,1973.0,Unprovoked,PHILIPPINES,Luzon,Unknow,Swimming,M,FATAL,Y,UNKNOW,19.0
1973-04-04,1973.0,Unprovoked,MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Wading,M,"FATAL, multiple bites",Y,UNKNOW,45.0
1972-12-31,1972.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Millers Point,Treading water,M,Lower left leg & foot bitten,N,UNKNOW,29.0
1971-12-05,1971.0,Unprovoked,AUSTRALIA,Queensland,Gladstone,Surfing,M,FATAL,Y,UNKNOW,20.0
1971-09-07,1971.0,Unprovoked,CROATIA,Istria County,Ika,Swimming,M,FATAL,Y,WHITE SHARK,34.0
1971-01-01,1971.0,Unprovoked,CROATIA,Istria,Ika,Swimming,M,FATAL,UNKNOWN,WHITE SHARK,28.0
1970-09-28,1970.0,Unprovoked,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Diving,M,Lacerations & punctures to right arm & shoulder,N,1.8 TO 2 M C. ALBIMARGINATUS,43.0
1970-01-16,1970.0,Sea Disaster,EGYPT,Red Sea,A few miles south of Port Suez,Air disaster,M,FATAL,Y,UNKNOW,28.0
1968-05-01,1968.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Unknow,Standing,M,Lower leg severely lacerated,N,UNKNOW,17.0
1967-03-10,1967.0,Invalid,AUSTRALIA,New South Wales,"Dover Heights, Sydney",Vehicle plunged over cliff into the water,M,Fatal or scavenging by a pack of sharks,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
1966-01-09,1966.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,Body surfing,M,Lower legs bitten,N,1.8 M TO 2 M [6' TO 6'9] SHARK,15.0
1965-09-08,1965.0,Unprovoked,MEXICO,Veracruz,Playa Villa del Mar,Surfing,M,Leg & arm bitten,N,300-KG [662-LB] SHARK,23.0
1964-12-25,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,"Hand, ankle & calf lacerated",N,RAGGEDTOOTH SHARK,19.0
1964-08-03,1964.0,Unprovoked,JAPAN,Okayama Prefecture,Saidaiji,Swimming,M,"Leg bitten, surgically amputated",N,UNKNOW,12.0
1964-05-08,1964.0,Unprovoked,FIJI,Vita Levu,Naviti,Spearfishing,M,"FATAL, buttocks, lower abdomen & genitalia removed",Y,TIGER SHARK,35.0
1964-01-23,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Body surfing,M,Heel & ankle bitten,N,UNKNOW,39.0
1963-12-26,1963.0,Unprovoked,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,M,"No injury, shark's tail struck his armpit",N,"4.3 M [14'], 1000-LB SHARK",28.0
1963-12-04,1963.0,Unprovoked,NEW BRITAIN,"South Coast, East New Britain",Pomio,Spearfishing,M,"FATAL, leg severely bitten",Y,TIGER SHARK,22.0
1962-10-14,1962.0,Watercraft,AUSTRALIA,South Australia,Port Phillip Bay,Adrift after wave swamped engine,M,"No injury to occupant, shark nibbled at boat",N,GREY NURSE SHARK,28.0
1962-06-11,1962.0,Unprovoked,USA,California,San Francisco Bay,Escaping from Alacatraz,M,"FATAL, but shark involvement uncomfirmed. Death may have been due to drowning.",Y,UNKNOW,32.0
1962-01-21,1962.0,Provoked,AUSTRALIA,New South Wales,Cronulla,Spearfishing,M,Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT,N,"BRONZE WHALER SHARK,  3M [10']",19.0
1961-09-26,1961.0,Provoked,USA,Florida,"Florida Keys, Monroe County",Surfing,M,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,N,UNKNOW,16.0
1961-04-03,1961.0,Unprovoked,AUSTRALIA,Victoria,Flinders Island,Spearfishing,M,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",N,"GREY NURSE SHARK, 2,7 M [9'], 200-LB",24.0
1960-08-04,1960.0,Unprovoked,USA,Delaware,"Mispillion Light, Delaware Bay","Fishing, Struck by another shark when removing shark from line",M,Hand lacerated,N,2.4 M [8'] SHARK,46.0
1960-06-27,1960.0,Provoked,NEW ZEALAND,Cook Strait,Tory Channel,Shark fishing,M,Harpooned shark bit boat PROVOKED INCIDENT,N,"WHITE SHARK, 15'2",28.0
